After Times?,Month of Starttime,NumTrips
TRUE,Apr-20,46793
FALSE,Mar-20,107350
TRUE,Feb-21,60648
TRUE,Jan-21,71718
TRUE,Dec-20,74002
FALSE,Dec-19,92208
FALSE,Mar-19,102369
TRUE,May-20,124879
FALSE,Jan-20,128598
FALSE,Feb-20,133235
TRUE,Mar-21,138633
TRUE,Nov-20,161712
FALSE,Apr-19,166694
FALSE,Nov-19,190759
TRUE,Jun-20,191843
FALSE,May-19,223084
TRUE,Oct-20,248424
TRUE,Jul-20,259726
FALSE,Jun-19,274083
TRUE,Aug-20,289033
FALSE,Oct-19,305504
TRUE,Sep-20,307853
FALSE,Jul-19,317028
FALSE,Aug-19,337519
FALSE,Sep-19,363185
